시설명,소재지도로명주소,소재지지번주소,운영기관명,전화번호,급식장소,급식대상,급식시간,급식요일,운영시작일자,운영종료일자,위도,경도,데이터기준일자
은평노인종합복지관,서울특별시 은평구 연서로 415,서울특별시 은평구 진관동156-6,은평노인종합복지관,02-385-1351,은평노인종합복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토,,,37.63201412,126.9308177,2025-02-03
역촌노인복지관,서울특별시 은평구 연서로3나길11-30,서울특별시 은평구 역촌동67-9,역촌노인복지관,02-385-9500,역촌노인복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토,,,37.60326215,126.911323,2025-02-03
갈현노인복지관,서울특별시 은평구 통일로89길12-6,서울특별시 은평구 갈현1동415-2,갈현노인복지관,02-357-2640,갈현노인복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토,,,37.62495566,126.918626,2025-02-03
응암노인복지관,서울특별시 은평구 응암로21가길5-1,서울특별시 은평구 응암3동126-46,응암노인복지관,02-355-2997,응암노인복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토,,,37.59453836,126.916808,2025-02-03
신사노인복지관,서울특별시 은평구 증산로15길47,서울특별시 은평구 신사2동163-13,신사노인복지관,02-302-0303,신사노인복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토,,,37.59035031,126.908289,2025-02-03
불광노인복지관,서울특별시 은평구 연서로32길17-11,서울특별시 은평구 불광1동339-13,불광노인복지관,02-385-3222,불광노인복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토,,,37.61941254,126.9249009,2025-02-03
대조노인복지관,서울특별시 은평구 역말로9길 27,서울특별시 은평구 대조동 208-11,대조노인복지관,02-6951-1172,대조노인복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토,,,37.61345215,126.9220484,2025-02-03
신사종합사회복지관,서울특별시 은평구 은평로38,서울특별시 은평구 신사동26-18,신사종합사회복지관,02-376-4141,신사종합사회복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토,,,37.59815825,126.9121456,2025-02-03
녹번종합사회복지관,서울특별시 은평구 은평로21길14-26,서울특별시 은평구 녹번동산28-6,녹번종합사회복지관,02-388-6341,녹번종합사회복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토,,,37.60254229,126.9318785,2025-02-03
은평종합사회복지관,서울특별시 은평구 수색로322 해평빌딩 3층,서울특별시 은평구 수색동 318-7 해평빌딩,은평종합사회복지관,02-307-1181,은평종합사회복지관경로식당,만 60세이상 저소득어르신,중식(11:00-13:00),월+화+수+목+금+토,,,37.58510959,126.8992597,2025-02-03
